ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3882956,765000,90.0,3,Łódź,Śródmieście,Mieszkanie,Tak,"ZAKUP bezpośrednio od właściciela; dziękuję pośrednikom.

Sprzedam bardzo przestronne i przyjemne 90 m2 mieszkanie znajdujące się w zadbanej kamienicy (czysta, odnowiona klatka schodowa oraz winda) na IV piętrze (w sumie jest 5 pięter) w równoległej do al. Kościuszki oficynie (dlatego ciche) (300 m ...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-90-m2-t5w1m5
3882148,219000,23.0,1,Łódź Śródmieście,ul. Grabowa,Mieszkanie,Tak,"Oferuję na sprzedaż 1-pokojowe mieszkanie o powierzchni 23 m².
Znajduje się na parterze w kamienicy.
Mieszkanie jest umeblowane i gotowe do zamieszkania.
Wnętrze charakteryzuje się jasnymi kolorami i nowoczesnym wyposażeniem.

Lokalizacja to serce miasta, blisko do licznych atrakcji.
W pobliżu znajd...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-grabowa-1-pokoj-m9h0c8
3881882,793950,58.0,3,Łódź Śródmieście,ul. Wojciecha Hasa,Mieszkanie,Tak,"Mieszkanie na sprzedaż o powierzchni 58,38 m², znajduje się na 2. piętrze nowoczesnego apartamentowca z 2026 roku w inwestycji Flow dewelopera Archicom. To komfortowe lokum składa się z 3 pokoi, oddzielnej kuchni oraz łazienki. Do mieszkania przynależy balkon oraz komórka lokatorska. Budynek wyposaż...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wojciecha-hasa-3-pokojowe-k3j5r7
3881370,729000,75.0,4,Łódź Śródmieście,ul. Tylna,Mieszkanie,Tak,"Lokal mieszkalny przy ul. Tylnej 2D na sprzedaż bez prowizji o powierzchni 75,54 m2.
Parter znajduje się na osiedlu Barciński Park (Śródmieście).
Mieszkanie czteropokojowe / trzy sypialnie i salon o pow. 20 m2 z balkonem o pow. 6 m2.
Lokal do zamieszkania, częściowo umeblowany.
Do mieszkania przynal...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-tylna-4-pokojowe-v6o9m3
3880836,980000,98.0,6,Łódź Polesie,ul. Zielona,Mieszkanie,Tak,"Mieszkanie inwestycyjne z kompletem najemców, w najmie długoterminowym.
Lokalizacja: Łódź ul. Zielona 27.

Podzielone na 6 pokoi i studio.
Bezpośrednia okolica wydziałów UM i UŁ.
5 minut spacerem do ulicy Piotrkowskiej.

Kamienica po rewitalizacji: ogrzewanie miejskie, pełny monitoring, rewitalizacj...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-zielona-6-pokojowe-o7h8g9
3880712,1093500,81.0,3,Łódź Śródmieście,ul. ks. bp. Wincentego Tymienieckiego,Mieszkanie,Tak,"Szanowni Państwo,
Zapraszam do oglądania wyjątkowego apartamentu o powierzchni 81 m2, znajdującego się w inwestycji Słoneczne Tarasy przy ul. Tymienieckiego 18.
Właścicielem mieszkania jest spółka Merilu Investments z siedzibą w Łodzi.
Mieszkanie składa się z 3 pokoi.
Na dole mamy przestronny salon ...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-ks-bp-wincentego-tymienieckiego-3-pokojowe-a1y0s1
3879950,275000,38.0,2,Łódź Śródmieście,ul. Grabowa,Mieszkanie,Tak,"Na sprzedaż komfortowe i funkcjonalne mieszkanie położone w kamienicy z centralnym ogrzewaniem przy ulicy Grabowej. Lokal składa się z Salonu z aneksem kuchennym oraz balkonem, pokoju służącego jako sypialnia lub pokój dziecięcy, łazienki oraz garderoby. Wysokość pomieszczeń 3.3 m zapewnia przestron...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-grabowa-2-pokojowe-q6m4y5
3879888,420000,43.0,2,Łódź Górna,ul. Lecznicza,Mieszkanie,Tak,"Sprzedam w pełni umeblowane i wyposażone mieszkanie z balkonem, gotowe do wprowadzenia, bez żadnych nakładów.

Mieszkanie ma 43,19 m² i znajduje się na 6. piętrze w bloku z nowoczesną windą. Jest bardzo jasne i funkcjonalne, z układem północ-południe - salon z balkonem od strony południowej, a kuchn...",https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lecznicza-2-pokojowe-b6v9n0
3879714,650000,57.0,3,Łódź Polesie,ul. Spadochroniarzy,Mieszkanie,Tak,"Na sprzedaż funkcjonalne i nowoczesne mieszkanie o powierzchni 57,27 m2, położone na 1. piętrze w budynku oddanym do użytkowania w 2019 roku.

Lokal składa się z:
- salonu z aneksem kuchennym z meblami na wymiar i sprzętem AGD, jasnej otwartej przestrzeni dziennej,
- dwóch niezależnych sypialni,
- ł...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-spadochroniarzy-3-pokojowe-x5n7f9
3879476,450000,60.0,2,Łódź Polesie,ul. Romualda Mielczarskiego,Mieszkanie,Tak,"Na sprzedaż pełna własność mieszkania położonego w bezpośrednim sąsiedztwie Manufaktury, przy ul. Mielczarskiego w Łodzi – jednej z najbardziej pożądanych lokalizacji w centrum miasta.

Mieszkanie posiada uregulowany stan prawny, nie jest zadłużone oraz posiada księgę wieczystą, co umożliwia bezprob...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-romualda-mielczarskiego-2-pokojowe-t3g2w2
