ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3925694,2350000,108.0,3,Kraków Grzegórzki,ul. Grzegórzecka,Mieszkanie,Tak,"PRYWATNIE BEZ PROWIZJI SPRZEDAŻ
Prywatnie sprzedam atrakcyjne 3 pokojowe mieszkanie z balkonem, garażem i komórką lokatorską w kameralnej kamienicy po generalnym remoncie.
Mieszkanie wykończone w wysokim standardzie z materiałów najwyższej jakości, w pełni urządzone, gotowe do wejścia od zaraz.
Mies...",https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-grzegorzecka-3-pokojowe-y6j7d7
3925646,700200,55.0,3,Kraków Prokocim,ul. Jana Kurczaba,Mieszkanie,Tak,"Na sprzedaż mieszkanie o powierzchni 55 m² zlokalizowane w spokojnej i zielonej części Prokocimia. Lokal znajduje się na parterze w 4-piętrowym bloku.

Mieszkanie z dużym potencjałem – częściowo odświeżone, częściowo do remontu i własnej aranżacji.

Układ i standard:
	•	powierzchnia: 55 m²
	•	parter...",https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-jana-kurczaba-3-pokojowe-u6c8o4
3925636,727000,44.0,3,Kraków Dąbie,al. Pokoju,Mieszkanie,Tak,"Mieszkanie własnościowe (z księgą wieczystą i uregulowanym gruntem) o powierzchni 44,3 m2 znajduje się na 4 piętrze w 10-piętrowym budynku z roku 1968 przy Alei Pokoju, obok przystanku Ofiar Dąbia. Budynek znajduje się w niewielkiej odległości od kompleksu Fabryczna Office Park. Na osiedlu są sklepy...",https://adresowo.pl/o/mieszkanie-krakow-dabie-al-pokoju-3-pokojowe-r0e9m3
3921610,675000,56.0,4,Kraków Mistrzejowice,os. Piastów,Mieszkanie,Nie,"ZADZWOŃ -->ZOBACZ-->ZAPROPONUJ CENĘ-->MY ZAJMIEMY SIĘ RESZTĄ!!!

Biuro Nieruchomości WW DOM proponuje do sprzedaży:

Kraków, Mistrzejowice, os. Piastów

Mieszkanie 4-pokojowe o powierzchni 56 m2 znajdujące się na trzecim piętrze w 4-piętrowym budynku z 1970 roku. Mieszkanie składa się z: pr...",https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-piastow-4-pokojowe-z5d0i7
3921076,649000,45.0,2,Kraków Bronowice,ul. Eljasza Walerego Radzikowskiego,Mieszkanie,Nie,"Na sprzedaż | Mieszkanie z 2 balkonami | Bronowice - Kraków | 2025 r.
 Na sprzedaż komfortowe, nowoczesne mieszkanie położone w jednej z najlepiej rozwijających się części Krakowa -  Bronowicach , Dojazd od OPolska / Conrada - Radzikowskiego. Lokal znajduje się w nowym, kameralnym budynku z 2025 rok...",https://adresowo.pl/o/mieszkanie-krakow-bronowice-ul-eljasza-walerego-radzikowskiego-2-pokojowe-g6f1r5
3905602,560000,26.0,1,Kraków Prądnik Biały,ul. Józefa Wybickiego,Mieszkanie,Tak,"Ogłoszenie bezpośrednio od właściciela.

Oferuję na sprzedaż kawalerkę w doskonałej lokalizacji - w budynku położonym przy ul. Wybickiego 44A w Krakowie. Jest to kameralny dwupiętrowy apartamentowiec oddany do użytku w 2022 roku. 

Miejsce jest doskonale skomunikowane - dojście do stacji PKP KRAKÓW ...",https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-jozefa-wybickiego-1-pokoj-w1h3a7
3924754,615000,31.0,2,Kraków,Podgórze Duchackie,Mieszkanie,Tak,"Na sprzedaż bezpośrednio od właściciela, komfortowe, dwupokojowe mieszkanie o nowoczesnym układzie, idealne dla pary, singla lub jako inwestycja pod wynajem.

Lokal jest jasny - duże okno - balkon francuski.

Mieszkanie składa się z: salonu z aneksem kuchennym, sypialni z podwójnym łóżkiem, nowoczes...",https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-2-pokojowe-31-m2-b6s2b8
3924564,843000,52.0,2,Kraków Czyżyny,os. Osiedle Avia,Mieszkanie,Tak,"Osiedle Avia 3 - 52,3 m² na ostatnim piętrze!
Tylko 2 mieszkania na poziomie. Gotowe do wejścia
Mam na sprzedaż (bezpośrednio jestem pierwszym właścicielem) wyjątkowe mieszkanie na osiedlu Avia 3.

Lokalizacja: Kraków, Czyżyny, Osiedle Avia 3
Metraż: 52,3 m²
Piętro: 7/7 (brak sąsiadów nad głową!)
Ce...",https://adresowo.pl/o/mieszkanie-krakow-czyzyny-os-osiedle-avia-2-pokojowe-q8f5d2
3921070,249000,18.0,1,Kraków Stare Miasto,ul. Szlak,Mieszkanie,Nie,"NA SPRZEDAŻ - lokal / pełna własność - KRAKÓW, STARE MIASTO, UL. SZLAK  

 Na sprzedaż kompaktowy lokal typu kawalerka, położony na niskim parterze (przyziemie -1) w zadbanej kamienicy przy ul. Szlak - tuż obok ul. św. Teresy, Krowoderskiej i Długiej. Lokalizacja idealna: spacer do Galerii Krakowski...",https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-szlak-1-pokoj-y8c0n4
3920656,489000,36.0,2,Kraków Nowa Huta,os. Kolorowe,Mieszkanie,Nie,"| 
    SŁONECZNE 2-POKOJOWE Z BALKONEM    
  OSIEDLE KOLOROWE W NOWA HUTA    
 
  
  

   LOKALIZACJA, BUDYNEK   
 
 Prezentujemy jasne, słoneczne mieszkania o powierzchni 36,52 m2, położone na czwartym piętrze budynku na Osiedlu Kolorowym. 
 
Budynek z lat 60-tych, 4-piętrowy, estetyczny, otoczony ...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-kolorowe-2-pokojowe-e6l5d1
